County/Sub County,Total ,Visual Male,Visual Female,Visual Total,Hearing Male,Hearing Female,Hearing Total,Mobility Male,Mobility Female,Mobility Total,Cognition Male,Cognition Female,Cognition Total,Self-Care Male,Self-Care Female,Self-care Total,Communication Male,Communication Female
CHEPALUNGU,457,207,250,335,151,184,855,347,507,429,223,206,445,239,206,336,194,142
KONOIN,358,153,205,214,117,97,567,223,344,275,132,143,308,142,166,256,136,120
SOTIK,605,258,347,458,223,235,1049,464,585,521,294,227,512,277,235,400,232,168
BOMET CENTRAL,403,202,201,283,138,145,709,299,410,386,185,201,396,194,202,300,172,128
KAKAMEGA,17706,7274,10431,8507,3627,4879,19273,7355,11917,11357,4416,6940,5752,2686,3065,5826,3094,2732
BUTERE,1544,634,910,783,330,453,1763,702,1061,996,383,613,507,224,283,475,238,237
KAKAMEGA CENTRAL,1494,616,878,571,261,310,1561,617,944,866,330,536,502,241,261,514,281,233
KAKAMEGA EAST,1515,623,892,736,293,443,1764,662,1101,1131,397,734,556,234,321,503,252,251
KAKAMEGA NORTH,1824,806,1018,902,410,492,1977,817,1160,1014,447,567,543,288,255,629,346,283
KAKAMEGA SOUTH,842,344,498,434,181,253,1200,507,693,700,276,424,468,234,234,332,175,157
KHWISERO,2652,1012,1639,1180,461,719,3006,1007,1999,1750,638,1111,639,274,365,574,294,280
LIKUYANI,1390,549,841,538,222,315,1299,491,808,722,296,426,466,213,253,627,341,286
LUGARI,918,359,559,375,158,217,963,351,612,523,229,294,313,151,162,319,157,162
MATETE,412,172,240,243,112,131,435,196,239,255,114,141,147,75,72,168,88,80
MATUNGU,967,406,561,627,281,346,1093,434,659,665,262,403,425,199,226,455,235,220
MUMIAS EAST,1550,661,889,761,345,416,1637,577,1060,1041,384,657,411,194,217,434,271,163
MUMIAS WEST,730,291,439,439,165,274,847,325,522,496,191,305,284,127,157,316,156,160
NAVAKHOLO,1868,801,1067,918,408,510,1728,669,1059,1198,469,729,491,232,259,480,260,220
VIHIGA,6933,2782,4151,3187,1311,1876,9630,3519,6111,5139,1933,3206,2599,1166,1433,2045,1120,925
EMUHAYA,1353,533,820,695,287,408,1876,700,1176,1165,427,738,492,229,263,389,206,183
VIHIGA,1190,476,714,500,220,280,1768,623,1145,848,288,560,454,186,268,356,193,163
SABATIA,1150,465,685,512,209,303,1692,612,1080,853,332,521,563,248,315,401,219,182
LUANDA,1497,617,880,680,286,394,1919,738,1181,1026,425,601,439,222,217,412,256,156
HAMISI,1743,691,1052,800,309,491,2375,846,1529,1247,461,786,651,281,370,487,246,241
KAKAMEGA FOREST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGOMA,10585,4592,5993,5457,2491,2966,10582,4393,6189,6203,2652,3549,3575,1759,1816,3784,2120,1664
BUMULA,1524,699,825,877,387,490,1593,626,967,964,387,577,517,256,261,531,295,236
BUNGOMA CENTRAL,1471,629,842,709,325,384,1322,528,794,911,361,549,380,175,205,444,265,179
BUNGOMA EAST,685,288,397,368,177,191,665,296,369,385,181,204,232,127,105,214,133,81
BUNGOMA NORTH,739,303,436,342,166,176,692,281,411,448,184,264,264,123,141,273,148,125
BUNGOMA SOUTH,1415,595,820,682,303,379,1442,607,835,726,348,378,457,239,218,610,347,263
CHEPTAIS,502,243,259,292,150,142,577,265,312,315,137,177,242,123,119,196,108,88
KIMILILI,1154,520,634,590,267,323,1109,472,637,626,269,357,388,189,199,394,198,196
MT. ELGON,358,164,194,204,101,103,432,207,225,220,101,119,166,97,69,176,98,78
BUNGOMA WEST,967,407,560,529,241,288,943,382,561,531,237,294,321,156,165,343,187,156
TONGAREN,635,267,368,313,130,183,745,276,469,456,177,279,244,104,140,242,125,117
WEBUYE WEST,1130,475,655,547,241,306,1051,448,603,617,268,349,361,169,192,357,214,143
MT. ELGON FOREST,5,2,3,4,3,1,11,5,6,4,2,2,3,1,2,4,2,2
BUSIA,7290,3031,4259,3806,1609,2197,8463,3157,5306,4716,1886,2830,2608,1200,1408,2506,1338,1168
BUNYALA,1211,481,730,485,194,291,1383,472,911,723,251,472,322,142,180,266,151,115
BUSIA,1001,394,607,444,174,270,998,371,627,501,216,285,331,146,185,341,190,151
BUTULA,1070,417,653,623,274,349,1437,509,928,688,262,426,491,207,284,402,199,203
NAMBALE,831,369,462,434,188,246,876,342,534,522,226,296,272,140,132,257,145,112
SAMIA,1322,528,794,733,281,452,1704,568,1136,1007,361,646,496,212,284,441,209,232
TESO NORTH,652,305,347,409,182,227,763,351,412,460,214,246,288,148,140,329,187,142
TESO SOUTH,1203,537,666,678,316,362,1302,544,758,815,356,459,408,205,203,470,257,213
SIAYA,14005,5281,8724,6861,2734,4127,14749,4903,9846,7945,2950,4995,4025,1722,2303,3336,1775,1561
SIAYA,3225,1199,2026,1534,607,927,3603,1123,2480,1870,697,1173,923,386,537,834,436,398
GEM,2612,966,1646,1389,557,832,2913,978,1935,1685,612,1073,761,336,425,625,325,300
UGENYA,1680,658,1022,910,357,553,2180,727,1453,1087,434,653,629,284,345,487,272,215
UGUNJA,1020,381,639,527,205,322,1258,422,836,619,237,382,350,160,190,299,157,142
BONDO,3095,1211,1884,1385,570,815,2612,938,1674,1426,527,899,703,289,414,548,299,249
RARIEDA,2373,866,1507,1116,438,678,2183,715,1468,1258,443,815,659,267,392,543,286,257
KISUMU,17606,6874,10732,7291,3004,4287,16196,5730,10466,8190,3151,5039,4288,1840,2448,3409,1813,1596
KISUMU EAST,2768,1139,1629,952,432,520,2187,828,1359,1072,423,649,561,263,298,490,268,222
KISUMU CENTRAL,1421,606,815,413,181,232,894,344,550,362,172,190,292,131,161,267,147,120
KISUMU WEST,3113,1213,1900,1239,523,716,2815,996,1819,1435,566,869,734,322,412,564,306,258
SEME,2437,897,1540,1242,474,768,2572,817,1755,1365,467,898,634,253,381,468,228,240
MUHORONI,1966,787,1179,953,411,542,2019,761,1258,926,412,514,572,256,316,468,277,191
NYANDO,2791,1054,1737,1149,455,694,2663,941,1722,1578,574,1004,671,279,392,572,294,278
NYAKACH,3110,1178,1932,1343,528,815,3046,1043,2003,1452,537,915,824,336,488,580,293,287
HOMA BAY,16852,6547,10305,8388,3522,4865,17523,6009,11514,10329,3682,6647,4783,2014,2769,3708,1933,1775
HOMA BAY,1329,526,803,665,307,358,1232,453,779,710,259,451,329,134,195,317,165,152
NDHIWA,3138,1204,1934,1810,779,1030,3388,1193,2195,2304,792,1512,992,404,588,776,380,396
RACHUONYO NORTH,3677,1374,2303,1493,582,911,3651,1234,2417,1964,671,1293,955,387,568,700,362,338
RACHUONYO EAST,1699,664,1035,900,382,518,1987,672,1315,1150,459,691,555,238,317,427,232,195
RACHUONYO SOUTH,1546,595,951,769,302,467,1501,522,979,997,366,631,517,236,281,354,190,164
RANGWE,1628,602,1026,870,335,535,1729,575,1154,1041,320,721,490,182,308,358,180,178
SUBA NORTH,2233,932,1301,1041,482,559,2027,672,1355,1198,440,758,486,214,272,418,229,189
SUBA SOUTH,1602,650,952,840,353,487,2008,688,1320,965,375,590,459,219,240,358,195,163
MIGORI,11141,4648,6492,6065,2613,3452,11064,4154,6909,6372,2476,3896,3519,1482,2036,3177,1627,1550
AWENDO,1614,648,966,799,350,449,1583,598,985,902,329,573,413,160,253,352,202,150
KURIA EAST,721,320,401,360,179,181,736,286,450,400,184,216,227,105,122,222,121,101
KURIA WEST,1183,558,625,682,340,342,1257,560,697,692,300,392,461,226,235,499,274,225
NYATIKE,2421,937,1484,1301,500,801,2209,769,1439,1426,486,940,683,249,433,632,294,338
RONGO,1480,585,895,720,305,415,1392,519,873,791,321,470,452,201,251,369,188,181
SUNA EAST,1001,457,544,585,272,313,1067,412,655,544,207,337,320,143,177,310,166,144
SUNA WEST,866,361,504,539,237,302,979,362,617,508,216,292,331,129,202,290,134,156
URIRI,1855,782,1073,1079,430,649,1841,648,1193,1109,433,676,632,269,363,503,248,255
KISII,13580,5711,7869,5663,2397,3265,16175,5968,10206,9636,3510,6125,5815,2622,3192,3975,2104,1870
ETAGO,729,342,387,345,163,182,854,315,539,488,182,306,342,155,187,253,131,122
GUCHA,874,366,508,369,145,223,949,357,591,621,216,404,382,160,221,255,120,134
GUCHA SOUTH,1073,443,630,462,189,273,1148,398,750,722,244,478,377,168,209,295,159,136
KENYENYA,1413,598,815,636,281,355,1781,686,1095,1197,415,782,615,264,351,385,200,185
KISII CENTRAL,1567,685,882,540,239,301,2022,738,1284,1047,377,670,653,317,336,470,243,227
KISII SOUTH,1046,441,605,511,203,308,1300,548,752,825,332,493,519,255,264,409,220,189
KITUTU CENTRAL,1705,712,993,679,285,394,1811,669,1142,1016,417,599,670,297,373,474,238,236
MARANI,1695,688,1007,639,265,374,1869,632,1237,1143,410,733,636,283,353,426,236,190
MASABA SOUTH,1514,605,909,609,248,361,2027,705,1322,1057,357,700,725,315,410,394,206,188
NYAMACHE,1336,572,764,619,266,353,1612,610,1002,1061,397,664,610,278,332,408,233,175
SAMETA,628,259,369,254,113,141,802,310,492,459,163,296,286,130,156,206,118,88
NYAMIRA,6554,2767,3787,2593,1150,1443,8296,3112,5184,4288,1649,2639,2755,1224,1531,1853,968,885
BORABU,638,279,359,252,111,141,773,278,495,387,157,230,280,117,163,207,103,104
MANGA,985,384,601,431,192,239,1478,551,927,767,289,478,503,216,287,311,158,153
MASABA NORTH,1257,518,739,503,218,285,1663,607,1056,946,343,603,525,229,296,346,174,172
NYAMIRA NORTH,2037,893,1144,707,317,390,2262,884,1378,1084,444,640,676,316,360,467,265,202
NYAMIRA SOUTH,1637,693,944,700,312,388,2120,792,1328,1104,416,688,771,346,425,522,268,254
NAIROBI,18790,7951,10837,5343,2628,2714,14551,6204,8345,6712,3110,3598,5500,2689,2809,5450,3067,2381
DAGORETTI,2074,858,1216,596,313,283,1720,676,1044,835,401,434,552,274,278,501,293,208
EMBAKASI,3431,1461,1969,919,448,471,2084,937,1147,1034,487,547,885,462,423,1030,592,438
KAMUKUNJI,1245,519,725,364,170,194,1058,455,603,542,230,312,411,193,218,395,204,191
KASARANI,3015,1227,1788,818,389,429,2194,997,1196,1047,482,563,919,434,483,911,509,401
KIBRA,987,434,553,290,146,144,713,289,423,363,157,206,243,126,117,295,169,126
LANG'ATA,698,344,354,240,120,120,776,359,417,326,153,172,316,148,168,293,163,129
MAKADARA,826,377,449,234,112,122,720,297,423,273,132,141,273,127,146,255,129,126
MATHARE,1242,524,718,320,149,171,882,357,525,385,171,214,227,120,107,245,136,109
NJIRU,3040,1218,1822,775,379,395,2201,919,1282,1008,456,551,837,385,452,761,426,335
STAREHE,835,341,494,260,139,121,783,343,440,308,154,154,297,157,140,298,176,122
WESTLANDS,1397,648,749,527,263,264,1420,575,845,591,287,304,540,263,277,466,270,196
