County,Total,Notified,Not Notified,Don't Know,Not Stated,Per Cent Notified
KENYA,1340468,1212142,125714,2609,3,90.4
RURAL,888039,777343,108563,2131,2,87.5
URBAN,452429,434799,17151,478,1,96.1
MOMBASA,37249,35201,2026,22,-,94.5
KWALE,29226,26455,2719,52,-,90.5
KILIFI,44519,41950,2509,60,-,94.2
TANA RIVER,11683,8541,3106,36,-,73.1
LAMU,4235,3909,324,2,-,92.3
TAITA/TAVETA,9110,8674,435,1,-,95.2
GARISSA,16414,12198,3986,230,-,74.3
WAJIR,16767,10777,5921,69,-,64.3
MANDERA,26639,17395,9027,217,-,65.3
MARSABIT,13679,9971,3679,29,-,72.9
ISIOLO,8037,6518,1496,23,-,81.1
MERU,38222,36649,1532,41,-,95.9
THARAKA-NITHI,9109,8681,417,11,-,95.3
EMBU,14556,14206,345,5,-,97.6
KITUI,27650,24459,3115,75,1,88.5
MACHAKOS,33548,31726,1783,39,-,94.6
MAKUENI,20805,19462,1294,49,-,93.5
NYANDARUA,16247,15825,417,4,1,97.4
NYERI,16831,16614,204,13,-,98.7
KIRINYAGA,13638,13459,175,4,-,98.7
MURANG'A,24866,24332,529,5,-,97.9
KIAMBU,69596,67736,1818,42,-,97.3
TURKANA,24758,17782,6726,250,-,71.8
WEST POKOT,24511,16956,7441,114,-,69.2
SAMBURU,10665,7561,3080,24,-,70.9
TRANS NZOIA,29005,24817,4125,63,-,85.6
UASIN GISHU,32983,30932,1995,56,-,93.8
ELGEYO/MARAKWET,13212,12459,742,11,-,94.3
NANDI,23603,21137,2414,52,-,89.6
BARINGO,19697,16061,3567,69,-,81.5
LAIKIPIA,15383,13400,1969,14,-,87.1
NAKURU,64797,59771,4923,102,1,92.2
NAROK,40643,32520,7980,143,-,80
KAJIADO,36244,32319,3833,92,-,89.2
KERICHO,24383,22344,2007,32,-,91.6
BOMET,24647,22848,1752,47,-,92.7
KAKAMEGA,49974,46136,3774,64,-,92.3
VIHIGA,14329,13581,733,15,-,94.8
BUNGOMA,47722,43706,3936,80,-,91.6
BUSIA,25597,23344,2222,31,-,91.2
SIAYA,28260,26784,1433,43,-,94.8
KISUMU,34078,32296,1752,30,-,94.8
HOMABAY,34833,31723,3069,41,-,91.1
MIGORI,37118,33827,3228,63,-,91.1
KISII,32057,30419,1609,29,-,94.9
NYAMIRA,14114,13406,696,12,-,95
NAIROBI CITY,135229,131275,3851,103,-,97.1
